127.0.0.1 - - [12/Dec/2022:20:50:49 +0100] "GET / HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:51 +0100] "GET /ecom/home.jsp HTTP/1.1" 200 18778
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:51 +0100] "GET /ecom/css/nouislider.min.css HTTP/1.1" 200 3555
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:51 +0100] "GET /ecom/css/slick-theme.css HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:51 +0100] "GET /ecom/css/style.css HTTP/1.1" 200 39529
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:51 +0100] "GET /ecom/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:51 +0100] "GET /ecom/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:51 +0100] "GET /ecom/js/jquery.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:51 +0100] "GET /ecom/css/slick.css HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:51 +0100] "GET /ecom/js/jquery.zoom.min.js HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:51 +0100] "GET /ecom/js/slick.min.js HTTP/1.1" 200 42863
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:51 +0100] "GET /ecom/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:51 +0100] "GET /ecom/img/logo.png HTTP/1.1" 404 707
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:51 +0100] "GET /ecom/js/main.js HTTP/1.1" 200 3620
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:51 +0100] "GET /ecom/img/product01.png HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:51 +0100] "GET /ecom/img/shop01.png HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:51 +0100] "GET /ecom/img/shop02.png HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:51 +0100] "GET /ecom/img/product02.png HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:51 +0100] "GET /ecom/img/product03.png HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:51 +0100] "GET /ecom/img/shop03.png HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:51 +0100] "GET /ecom/img/product04.png HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:51 +0100] "GET /ecom/js/nouislider.min.js HTTP/1.1" 200 21184
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:51 +0100] "GET /ecom/img/product05.png HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:52 +0100] "GET /ecom/css/ajax-loader.gif HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:52 +0100] "GET /ecom/img/product05.png HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:52 +0100] "GET /ecom/img/product03.png HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:52 +0100] "GET /ecom/img/product04.png HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:52 +0100] "GET /ecom/img/product02.png HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:52 +0100] "GET /ecom/img/product01.png HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:52 +0100] "GET /ecom/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [12/Dec/2022:20:50:56 +0100] "GET /favicon.ico HTTP/1.1" 404 693
