127.0.0.1 - - [17/Jan/2023:22:51:25 +0100] "GET / HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:26 +0100] "GET /ecom/login.jsp HTTP/1.1" 200 16793
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:26 +0100] "GET /ecom/css/style.css HTTP/1.1" 200 39529
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:26 +0100] "GET /ecom/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:26 +0100] "GET /ecom/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:26 +0100] "GET /ecom/css/nouislider.min.css HTTP/1.1" 200 3555
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:26 +0100] "GET /ecom/css/slick-theme.css HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:26 +0100] "GET /ecom/js/jquery.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:26 +0100] "GET /ecom/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:26 +0100] "GET /ecom/js/slick.min.js HTTP/1.1" 200 42863
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:26 +0100] "GET /ecom/js/nouislider.min.js HTTP/1.1" 200 21184
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:26 +0100] "GET /ecom/js/jquery.zoom.min.js HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:26 +0100] "GET /ecom/js/main.js HTTP/1.1" 200 3620
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:26 +0100] "GET /ecom/css/slick.css HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:26 +0100] "GET /ecom/img/logo.png HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:27 +0100] "GET /ecom/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:39 +0100] "GET /favicon.ico HTTP/1.1" 404 693
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:48 +0100] "POST /ecom/login HTTP/1.1" 200 16824
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:56 +0100] "POST /ecom/login HTTP/1.1" 200 11815
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:56 +0100] "GET /ecom/plugins/fontawesome-free/css1/all.min.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:56 +0100] "GET /ecom/plugins/icheck-bootstrap/icheck-bootstrap.min.css HTTP/1.1" 200 12501
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:56 +0100] "GET /ecom/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 200 9064
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:56 +0100] "GET /ecom/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19470
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:56 +0100] "GET /ecom/dist/css/adminlte.min.css HTTP/1.1" 200 656504
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:56 +0100] "GET /ecom/plugins/pace-progress/themes/black/pace-theme-flat-top.css HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:56 +0100] "GET /ecom/plugins/jqvmap/jqvmap.min.css HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:56 +0100] "GET /ecom/plugins/daterangepicker/daterangepicker.css HTTP/1.1" 200 7659
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:56 +0100] "GET /ecom/plugins/summernote/summernote-bs4.css HTTP/1.1" 200 18647
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:56 +0100] "GET /ecom/plugins/jquery/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:56 +0100] "GET /ecom/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 253669
