127.0.0.1 - - [06/Feb/2023:14:33:04 +0100] "GET / HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:05 +0100] "GET /ecom/ HTTP/1.1" 404 691
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:05 +0100] "GET /favicon.ico HTTP/1.1" 404 693
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:30 +0100] "GET /ecom/home.jsp HTTP/1.1" 200 9248
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:30 +0100] "GET /ecom/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:30 +0100] "GET /ecom/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:30 +0100] "GET /ecom/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:30 +0100] "GET /ecom/css/slick-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:30 +0100] "GET /ecom/css/slick.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:30 +0100] "GET /ecom/css/nouislider.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:30 +0100] "GET /ecom/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:30 +0100] "GET /ecom/js/nouislider.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:30 +0100] "GET /ecom/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:30 +0100] "GET /ecom/js/jquery.zoom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:30 +0100] "GET /ecom/js/slick.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:30 +0100] "GET /ecom/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:30 +0100] "GET /ecom/img/shop02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:30 +0100] "GET /ecom/img/shop03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:30 +0100] "GET /ecom/img/shop01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:30 +0100] "GET /ecom/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:30 +0100] "GET /ecom/css/ajax-loader.gif HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:30 +0100] "GET /ecom/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:31 +0100] "GET /favicon.ico HTTP/1.1" 404 693
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:34 +0100] "GET /ecom/login.jsp HTTP/1.1" 200 16779
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "POST /ecom/login HTTP/1.1" 200 11823
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/jqvmap/jqvmap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/dist/css/adminlte.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/icheck-bootstrap/icheck-bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/pace-progress/themes/black/pace-theme-flat-top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/fontawesome-free/css1/all.min.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/summernote/summernote-bs4.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/daterangepicker/daterangepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/jqvmap/jquery.vmap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/sparklines/sparkline.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/jqvmap/maps/jquery.vmap.usa.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/chart.js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/jquery-knob/jquery.knob.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/daterangepicker/daterangepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/moment/moment.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/summernote/summernote-bs4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/tempusdominus-bootstrap-4/js/tempusdominus-bootstrap-4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/dist/js/adminlte.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/dist/js/demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/pace-progress/pace.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/dist/js/pages/dashboard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/toastr/toastr.min.js HTTP/1.1" 304 -
